
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      5  |      1.1064  |     0.8838  |   0.8459  |               |              2.4349  |
|          |      6  |      1.0391  |     0.9238  |   0.8965  |               |              2.8114  |
|          |      7  |      1.0176  |     0.9395  |   0.8972  |               |              3.1883  |
|          |      8  |      0.9746  |     0.9600  |   0.9208  |               |              3.5642  |
|          |      9  |      0.9404  |     0.9766  |   0.9319  |               |              3.9097  |
|          |   eval  |      0.9404  |     0.9766  |   0.9319  |       0.9420  |              4.0784  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4355  |     0.7002  |   0.6960  |               |              0.4134  |
|          |      1  |      1.2783  |     0.7959  |   0.7452  |               |              0.8227  |
|          |      2  |      1.2051  |     0.8311  |   0.6703  |               |              1.2337  |
|          |      3  |      1.1396  |     0.8721  |   0.8445  |               |              1.6102  |
|          |      4  |      1.1230  |     0.8818  |   0.8592  |               |              1.9866  |
|          |      5  |      1.0879  |     0.8945  |   0.8712  |               |              2.3631  |
|          |      6  |      1.0488  |     0.9160  |   0.8780  |               |              2.7389  |
|          |      7  |      1.0361  |     0.9180  |   0.9043  |               |              3.1164  |
|          |      8  |      0.9653  |     0.9707  |   0.9242  |               |              3.4928  |
|          |      9  |      0.9390  |     0.9775  |   0.9355  |               |              3.8399  |
|          |   eval  |      0.9390  |     0.9775  |   0.9355  |       0.9393  |              4.0079  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4482  |     0.7129  |   0.6512  |               |              0.4875  |
|          |      1  |      1.3096  |     0.7734  |   0.6354  |               |              0.8976  |
|          |      2  |      1.2119  |     0.8203  |   0.8214  |               |              1.3093  |
|          |      3  |      1.1680  |     0.8535  |   0.8149  |               |              1.6857  |
|          |      4  |      1.1201  |     0.8789  |   0.8655  |               |              2.0626  |
|          |      5  |      1.0879  |     0.8965  |   0.8469  |               |              2.4410  |
|          |      6  |      1.0430  |     0.9258  |   0.8756  |               |              2.8173  |
|          |      7  |      1.0205  |     0.9326  |   0.8993  |               |              3.1939  |
|          |      8  |      0.9756  |     0.9580  |   0.9205  |               |              3.5705  |
|          |      9  |      0.9438  |     0.9785  |   0.9302  |               |              3.9168  |
|          |   eval  |      0.9438  |     0.9785  |   0.9302  |       0.9404  |              4.0852  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4102  |     0.7285  |   0.6400  |               |              0.4151  |
|          |      1  |      1.2695  |     0.7959  |   0.7428  |               |              0.8269  |
|          |      2  |      1.1924  |     0.8379  |   0.7377  |               |              1.2369  |
|          |      3  |      1.1445  |     0.8760  |   0.8121  |               |              1.6155  |
|          |      4  |      1.1270  |     0.8770  |   0.7849  |               |              1.9928  |
|          |      5  |      1.0977  |     0.8906  |   0.8605  |               |              2.3703  |
|          |      6  |      1.0547  |     0.9092  |   0.8891  |               |              2.7473  |
|          |      7  |      1.0186  |     0.9336  |   0.9026  |               |              3.1254  |
|          |      8  |      0.9795  |     0.9570  |   0.9210  |               |              3.5034  |
|          |      9  |      0.9497  |     0.9717  |   0.9327  |               |              3.8511  |
|          |   eval  |      0.9497  |     0.9717  |   0.9327  |       0.9402  |              4.0183  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4170  |     0.7188  |   0.6822  |               |              0.4702  |
|          |      1  |      1.2695  |     0.7979  |   0.7554  |               |              0.8797  |
|          |      2  |      1.2148  |     0.8359  |   0.7883  |               |              1.2916  |
|          |      3  |      1.1865  |     0.8398  |   0.8123  |               |              1.6691  |
|          |      4  |      1.1553  |     0.8652  |   0.8378  |               |              2.0466  |
|          |      5  |      1.0869  |     0.8955  |   0.8339  |               |              2.4235  |
|          |      6  |      1.0488  |     0.9131  |   0.8918  |               |              2.8004  |
|          |      7  |      1.0205  |     0.9287  |   0.9030  |               |              3.1780  |
|          |      8  |      0.9771  |     0.9609  |   0.9210  |               |              3.5538  |
|          |      9  |      0.9385  |     0.9805  |   0.9316  |               |              3.9014  |
|          |   eval  |      0.9385  |     0.9805  |   0.9316  |       0.9384  |              4.0701  |
------------------------------------------------------------------------------------------------------
|      25  |      0  |      1.4531  |     0.6709  |   0.6459  |               |              0.4720  |
|          |      1  |      1.2607  |     0.8115  |   0.7647  |               |              0.8814  |
|          |      2  |      1.2256  |     0.8057  |   0.7886  |               |              1.2931  |
|          |      3  |      1.1436  |     0.8652  |   0.8363  |               |              1.6706  |
|          |      4  |      1.1152  |     0.8896  |   0.8453  |               |              2.0475  |
|          |      5  |      1.0732  |     0.9092  |   0.8546  |               |              2.4265  |
|          |      6  |      1.0439  |     0.9131  |   0.8809  |               |              2.8028  |
|          |      7  |      1.0303  |     0.9326  |   0.9068  |               |              3.1792  |
|          |      8  |      0.9746  |     0.9580  |   0.9225  |               |              3.5556  |
|          |      9  |      0.9326  |     0.9834  |   0.9331  |               |              3.9014  |
|          |   eval  |      0.9326  |     0.9834  |   0.9331  |       0.9399  |              4.0716  |
------------------------------------------------------------------------------------------------------
